iso3c,year,gdp_percap
CIV,2010,2671.139553
CIV,2014,3262.726564
CIV,2011,2546.906812
CIV,1997,2325.24034
CIV,1990,2081.512055
CIV,2013,3027.654639
CIV,2.00E+03,2360.206139
CIV,1999,2411.940058
CIV,2012,2803.700937
CHL,2014,22909.79625
CHL,2010,18249.54077
CHL,2009,16226.14868
CHL,1994,6528.177649
CHL,2006,15637.69644
CHL,1998,8907.98353
CHL,1995,7338.522927
CHL,1993,6077.837187
CHL,1997,8599.416631
CHL,2015,23366.58391
CHL,1996,7993.252483
CHL,2008,16437.57209
CHL,2007,16841.56003
CHL,1992,5579.525929
CHL,1990,4407.204479
CHL,2.00E+03,9848.898397
CHL,2002,10535.56041
CHL,2011,20266.03603
CHL,2001,10249.82649
CHL,2004,11991.27253
CHL,2012,21370.09931
CHL,2013,22543.94374
CHL,1991,4887.033391
CHL,2003,11133.57073
CHL,1999,8846.42962
CHL,2005,12964.80494
CMR,1993,1522.742747
CMR,1992,1662.504905
CMR,1991,1726.901947
CMR,2005,2256.197358
CMR,1994,1542.981123
CMR,1996,1657.890457
CMR,2009,2475.605671
CMR,2006,2339.807259
CMR,2004,2192.349746
CMR,2003,2111.164252
CMR,2002,2041.760122
CMR,2008,2472.469533
CMR,2007,2417.748926
CMR,1995,1595.122677
CMR,2010,2522.88181
CMR,2014,2986.974188
CMR,2015,3115.278819
CMR,1990,1789.258373
CMR,2001,1984.237936
CMR,2013,2840.321368
CMR,1997,1728.458535
CMR,1999,1836.001013
CMR,2.00E+03,1905.370959
CMR,1998,1784.388818
CMR,2011,2614.495561
CMR,2012,2715.35411
CHN,2011,10384.36732
CHN,1995,1869.46645
CHN,1998,2458.630831
CHN,1999,2664.485215
CHN,1997,2277.207009
CHN,2014,13439.90764
CHN,2007,6863.982229
CHN,2010,9333.124882
CHN,2.00E+03,2933.31502
CHN,1996,2070.771752
CHN,2001,3226.84868
CHN,2006,5883.719784
CHN,2009,8374.43285
CHN,2002,3551.663897
CHN,2013,12367.96586
CHN,2015,14450.17474
CHN,2008,7635.073139
CHN,1993,1461.610447
CHN,1992,1268.271708
CHN,1994,1668.580757
CHN,2012,11351.06284
CHN,1990,986.5684444
CHN,1991,1099.052304
CHN,2005,5092.560189
CHN,2004,4455.20533
CHN,2003,3961.274167
COL,1999,6256.810181
COL,1998,6528.900673
COL,2.00E+03,6585.333975
COL,1990,4869.162131
COL,2002,6927.320919
COL,1991,5050.719252
COL,2010,10680.00208
COL,2009,10260.20522
COL,2001,6750.687139
COL,2011,11496.52725
COL,2012,12058.4613
COL,2013,12725.20984
COL,1997,6520.037003
COL,1996,6294.865168
COL,1993,5485.499263
COL,2008,10132.23949
COL,1992,5327.885353
COL,2003,7241.331945
COL,2004,7732.320562
COL,1994,5827.996645
COL,1995,6155.688368
COL,2006,8957.336622
COL,2007,9710.901183
COL,2014,13394.0792
COL,2005,8248.354961
COL,2015,13829.06823
CRI,1996,6574.131821
CRI,2010,12737.03979
CRI,2008,12329.93565
CRI,2009,12141.94039
CRI,1995,6533.193292
CRI,1999,7527.107713
CRI,2007,11714.22544
CRI,1994,6299.31802
CRI,2006,10697.47348
CRI,1992,5662.428727
CRI,2013,14493.14204
CRI,1998,7286.422718
CRI,2012,14133.60921
CRI,1991,5200.574132
CRI,2001,8139.806031
CRI,1993,6052.794902
CRI,2005,9816.996574
CRI,2.00E+03,7829.799001
CRI,2014,15028.14728
CRI,1997,6893.933972
CRI,2011,13397.19269
CRI,2004,9289.501101
CRI,2015,15594.63582
CRI,1990,5033.101569
CRI,2003,8793.38528
CRI,2002,8397.294271
CUB,2.00E+03,8948.602699
CUB,2009,17443.36295
CUB,2008,17075.49136
CUB,1999,8287.856106
CUB,1998,7713.899128
CUB,2007,16093.62914
CUB,2012,19820.97698
CUB,2001,9414.413637
CUB,2013,20645.90858
CUB,2014,
CUB,2006,14626.52465
CUB,2015,
